GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
citizensLoader4a,es.uniovi.asw.dbupdate.util,Hibernate_Jpa,18,53,0,2,7,17,1,6,1,5
citizensLoader4a,es.uniovi.asw.parser,RListExcel,19,229,6,34,6,53,6,16,0,2
citizensLoader4a,es.uniovi.asw.parser,WreportR,0,8,0,0,0,3,0,2,0,2
citizensLoader4a,es.uniovi.asw.parser,RListTXT,82,121,0,4,9,26,0,4,0,2
citizensLoader4a,es.uniovi.asw.parser,RList,0,168,0,16,0,37,0,14,0,6
citizensLoader4a,es.uniovi.asw.parser,InsertR,0,9,0,0,0,3,0,2,0,2
citizensLoader4a,es.uniovi.asw,LoadCitizens,9,27,0,0,3,10,1,3,1,3
citizensLoader4a,es.uniovi.asw,Calculator,5,34,1,1,0,6,1,5,0,5
citizensLoader4a,es.uniovi.asw.dbupdate,CitizenFinder,5,17,1,1,2,5,2,1,1,1
citizensLoader4a,es.uniovi.asw.dbupdate,InsertP,6,126,6,20,1,28,6,10,0,3
citizensLoader4a,es.uniovi.asw.dbupdate,WreportR,0,8,0,0,0,3,0,2,0,2
citizensLoader4a,es.uniovi.asw.parser.differentParsers,ApacheParser,3,0,0,0,1,0,1,0,1,0
citizensLoader4a,es.uniovi.asw.parser.differentParsers,MyParser,148,191,39,15,28,37,28,13,4,6
citizensLoader4a,es.uniovi.asw.parser.differentParsers,ParserDePrueber,3,0,0,0,1,0,1,0,1,0
citizensLoader4a,es.uniovi.asw.parser.adapter,MyParserAdapter,0,29,0,2,0,6,0,3,0,2
citizensLoader4a,es.uniovi.asw.parser.adapter,ParserDePrueberAdapter,3,0,0,0,1,0,1,0,1,0
citizensLoader4a,es.uniovi.asw.parser.adapter,ApacheParserAdapter,3,0,0,0,1,0,1,0,1,0
citizensLoader4a,es.uniovi.asw.util.exception,CitizenException,0,16,0,0,0,8,0,4,0,4
citizensLoader4a,es.uniovi.asw.personalletter,MensajePersonalizado,3,65,0,0,1,11,1,2,1,2
citizensLoader4a,es.uniovi.asw.personalletter,PlainTextWritter,30,61,1,1,4,18,1,3,0,3
citizensLoader4a,es.uniovi.asw.personalletter,SingletonTextWritter,0,44,1,7,0,14,1,8,0,5
citizensLoader4a,es.uniovi.asw.personalletter,WordTextWritter,23,48,0,0,3,14,0,3,0,3
citizensLoader4a,es.uniovi.asw.personalletter,PDFTextWritter,30,124,3,3,3,31,2,8,0,7
citizensLoader4a,es.uniovi.asw.util,Comprobador,4,150,9,33,1,32,10,18,1,6
citizensLoader4a,es.uniovi.asw.util,Console,9,42,0,0,3,12,1,7,1,7
citizensLoader4a,es.uniovi.asw.util.logger,CustomFormatter,0,56,0,0,0,10,0,5,0,5
citizensLoader4a,es.uniovi.asw.util.logger,CLLogger,0,26,0,0,0,8,0,2,0,2
citizensLoader4a,es.uniovi.asw.model,Citizen,25,178,2,4,7,42,5,22,3,21
citizensLoader4a,es.uniovi.asw.reportwritter,GenerateLogText,29,139,2,14,4,25,3,7,1,1
citizensLoader4a,es.uniovi.asw.reportwritter,ErrorTypes,3,19,0,0,1,9,1,1,1,1
citizensLoader4a,es.uniovi.asw.reportwritter,WreportP,0,27,0,2,0,5,0,4,0,3
citizensLoader4a,es.uniovi.asw.reportwritter,SingletonReporter,0,28,0,4,0,10,0,6,0,4
