GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
participationSystem0,hello.util.loggercutre,LoggerCutre,251,0,4,0,39,0,7,0,5,0
participationSystem0,hello.util.loggercutre,SingletonLoggerCutre,22,0,4,0,7,0,5,0,3,0
participationSystem0,hello.controllers,APIController,7,3,0,0,1,1,1,1,1,1
participationSystem0,hello.controllers,IndexController,0,5,0,0,0,2,0,2,0,2
participationSystem0,hello.controllers,CitizenController,305,0,14,0,84,0,24,0,17,0
participationSystem0,hello.controllers,AdminController,102,0,0,0,28,0,9,0,9,0
participationSystem0,hello.domain,Sugerencia,452,3,60,0,112,2,57,1,27,1
participationSystem0,hello.domain,Citizen,281,3,12,0,68,2,38,1,32,1
participationSystem0,hello.domain,Configuration,195,14,20,0,41,5,19,1,9,1
participationSystem0,hello.domain,Comentario,119,3,14,0,35,1,18,1,11,1
participationSystem0,hello.domain,Categoria,72,6,6,0,16,3,12,1,9,1
participationSystem0,hello.producers,Topics,3,0,0,0,1,0,1,0,1,0
participationSystem0,hello.producers,KafkaProducer,15,15,0,0,3,5,1,2,1,2
participationSystem0,hello.producers,SingletonKafkaProducer,22,0,4,0,8,0,5,0,3,0
participationSystem0,hello.producers,KafkaProducer.new ListenableFutureCallback() {...},46,0,0,0,5,0,3,0,3,0
participationSystem0,hello.producers,KafkaProducerFactory,0,60,0,0,0,12,0,4,0,4
participationSystem0,hello,UserInfo,33,0,0,0,8,0,4,0,4,0
participationSystem0,hello,Message,10,0,0,0,4,0,3,0,3,0
participationSystem0,hello,Application,7,3,0,0,3,1,2,1,2,1
participationSystem0,hello.util.exception,CitizenException,16,0,0,0,8,0,4,0,4,0
participationSystem0,hello.services.impl,CommentServiceImpl,63,7,0,0,12,3,2,2,2,2
participationSystem0,hello.services.impl,SystemServicesImpl,104,19,10,0,22,9,10,5,5,5
participationSystem0,hello.services.impl,CitizenServiceImpl,11,11,0,0,3,5,2,3,2,3
participationSystem0,hello.services.impl,SuggestionServiceImpl,319,11,10,0,50,5,14,3,9,3
participationSystem0,hello.services.impl,AdminServiceImpl,221,11,12,0,41,5,13,3,7,3
participationSystem0,hello.services.impl,CategoryServiceImpl,39,7,2,0,8,3,5,2,4,2
participationSystem0,hello.services,Services,27,0,0,0,7,0,7,0,7,0
participationSystem0,hello.services,SuperService,7,0,0,0,2,0,1,0,1,0
